:START_ID,:END_ID,:TYPE
429004198012064135,317084510,BankAccount
420684199211056654,972962438,BankAccount
513331199506078313,489261688,BankAccount
411503197005293514,624700165,BankAccount
210105197509153207,485628861,BankAccount
341822195703249110,593478088,BankAccount
230604197002206379,929441351,BankAccount
321283196909173633,967599316,BankAccount
440785198105271830,786572470,BankAccount
350524197110217250,121008146,BankAccount
654026198903086445,146709800,BankAccount
131026196812226544,849314399,BankAccount
441521199102210067,597825791,BankAccount
140602199908154026,347048175,BankAccount
520102198807098708,331953887,BankAccount
230205196810215561,724363530,BankAccount
140107196306284505,950012754,BankAccount
230402196605281721,543540752,BankAccount
620725197909125878,376058897,BankAccount
141125196611248113,655359906,BankAccount
411481197406029693,232313037,BankAccount
622901200010181778,908536196,BankAccount
532301195803109535,480487730,BankAccount
410505196611141414,704183567,BankAccount
500111199601284632,034867776,BankAccount
230202196308080715,963643892,BankAccount
340405200012117503,929052162,BankAccount
410327199112257377,614942758,BankAccount
630104199705229141,183274672,BankAccount
410901199604118748,945768776,BankAccount
511325196509221446,371265613,BankAccount
510682196903155464,121124208,BankAccount
411702196901173463,941256917,BankAccount
431230198705063971,752072598,BankAccount
340303199904019093,465770225,BankAccount
320602199710157341,276747580,BankAccount
411221198211154297,382954166,BankAccount
320505196312301666,214011890,BankAccount
510812199510079835,032073067,BankAccount
411628195501144348,187145000,BankAccount
360781197301018464,742970028,BankAccount
513325197510300261,029295702,BankAccount
430581198805095739,875648934,BankAccount
510923197108063405,199278208,BankAccount
350825196309232511,255452463,BankAccount
320301198506303327,508280280,BankAccount
120105199911032789,581772125,BankAccount
350429196804064754,021011250,BankAccount
542301197006273745,385844383,BankAccount
420222198110113857,518105474,BankAccount
520222195803017752,880341402,BankAccount
230826196408209003,236546594,BankAccount
310106197507108161,977541324,BankAccount
341182198806074219,196532223,BankAccount
532601199902170416,205515644,BankAccount
350623197102267931,635171986,BankAccount
530302200008205268,499661579,BankAccount
140522196404249762,298008201,BankAccount
150601198501099119,200294943,BankAccount
410883198106012413,777923284,BankAccount
371325198610261456,410007394,BankAccount
530621199101035671,525783161,BankAccount
510182198801023137,850636145,BankAccount
653222199207238641,947424426,BankAccount
320381197302248335,736192174,BankAccount
653127199203304048,662676656,BankAccount
330702197007154665,539285613,BankAccount
451302197002012230,660796568,BankAccount
410621199906025849,489643707,BankAccount
130181196811290395,163682104,BankAccount
321084199801029155,222480274,BankAccount
610822199201123113,668592384,BankAccount
230203199303092487,666258200,BankAccount
530922199010174299,598356590,BankAccount
370724197501043364,503680331,BankAccount
621102198808294850,146709800,BankAccount
610331198707162025,998917049,BankAccount
533103198704137661,742970028,BankAccount
331003200108038691,998302874,BankAccount
450202198103032570,558545023,BankAccount
500233196706265417,143718466,BankAccount
530602199608136560,609901799,BankAccount
341201195512152109,478734262,BankAccount
152525195807180229,186914444,BankAccount
410481196612083070,837047800,BankAccount
430722198610316313,276293687,BankAccount
321201198702198160,086493453,BankAccount
513233199010244836,933548459,BankAccount
410902198712110993,362959225,BankAccount
410702198505169746,285649995,BankAccount
420901196812061518,998093097,BankAccount
230402196008192125,027586085,BankAccount
441721195705165844,607303446,BankAccount
610202197703051812,368235798,BankAccount
411622200012155511,682156035,BankAccount
210782196508254114,221435204,BankAccount
140430195901100556,683598260,BankAccount
632522199208081001,955330074,BankAccount
230712199508141838,593393030,BankAccount
421001197105267969,564675842,BankAccount
360830196801212630,233933789,BankAccount
530402199509083756,857004034,BankAccount
621126199404048153,307499248,BankAccount
542132196007156497,248664368,BankAccount
652822199708082362,556988414,BankAccount
130828198802171264,518404131,BankAccount
321001197108229144,832727357,BankAccount
430722198504302574,672752592,BankAccount
350602196811068468,245762886,BankAccount
230421199909186631,433073906,BankAccount
230605196110052086,404586879,BankAccount
331123197812210224,102594782,BankAccount
150782199211090628,375658754,BankAccount
520330197403166864,615236611,BankAccount
330621199206125484,873552033,BankAccount
361029198411017337,909646480,BankAccount
421303195810100086,487998000,BankAccount
530624198202273580,362978270,BankAccount
451023198310145593,734622097,BankAccount
430381195901128571,821189232,BankAccount
350702196205112564,642751222,BankAccount
430981196712151668,690349330,BankAccount
430702195910313315,269191556,BankAccount
630103199504276523,001810886,BankAccount
410603196802182265,392662322,BankAccount
210302198007154973,479003607,BankAccount
650105198912318878,113735371,BankAccount
530602197512042338,788035748,BankAccount
411725200002276760,636415651,BankAccount
140202199612289793,245762886,BankAccount
450403195801035150,020098342,BankAccount
360829198008176088,307610040,BankAccount
422827197802219380,372776440,BankAccount
150782195704093577,200294943,BankAccount
371426196911097518,487998000,BankAccount
320412199812319219,954468430,BankAccount
445122197110148872,702491609,BankAccount
510626196005217249,098412453,BankAccount
610524198003267138,149589046,BankAccount
150201198004073063,628536762,BankAccount
450603200101245295,569577076,BankAccount
360723199405155455,262703668,BankAccount
371524196905127565,560779477,BankAccount
652825196705030235,222480274,BankAccount
610927199703020198,840672681,BankAccount
350104196906059795,607735494,BankAccount
371624198607130133,266011680,BankAccount
370212197909049938,132516714,BankAccount
370322196605146382,839399975,BankAccount
330803197106305054,522845132,BankAccount
610527199702281960,709757230,BankAccount
430723198511023445,682963002,BankAccount
350305198909237760,899022610,BankAccount
411302199702156244,715669675,BankAccount
511703196006063057,424949294,BankAccount
640301197712201367,123526213,BankAccount
130321198310132856,623411315,BankAccount
211121197909156087,283092792,BankAccount
542330199202211657,339635307,BankAccount
